window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,restriction
24m,all_projects,07_5000_10000,equal_project,,24,1.1776351996252246,0.13579925486227087,1.0418359447629537,2.251863114743608,2.251863114743608,24,0,0,0.2636620061398291,2.6128403906618596,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,07_5000_10000,overlap_exposure,,24,3.0598563807094425,0.39431324075072066,2.665543139958722,2.251863114743608,2.251863114743608,24,0,0,0.3085052957609151,6.799260769927507,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,08_10000_25000,equal_project,,24,1.371790448736845,0.13579925486227087,1.2359911938745742,1.9059442904421793,1.9059442904421793,24,0,0,0.20471782218019655,3.1101949623898064,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,08_10000_25000,overlap_exposure,,24,2.7672426162662553,0.34818129541984283,2.4190613208464122,1.9059442904421793,1.9059442904421793,24,0,0,0.1147876430556278,6.488720853861518,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,09_25000_50000,equal_project,,24,1.4789183159172277,0.13579925486227087,1.343119061054957,1.3451212490056381,1.3451212490056381,24,0,0,0.019608698313948545,3.9305031186477124,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,09_25000_50000,overlap_exposure,,24,2.048025303293303,0.29346462009379953,1.7545606831995038,1.3451212490056381,1.3451212490056381,24,0,0,0.05876086310620844,5.561292273007376,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,10_50000_100000,equal_project,,24,1.408954405742831,0.13579925486227087,1.2731551508805599,0.7325863321682018,0.7325863321682018,23,1,0,-0.018964372092392233,4.319906486778665,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,10_50000_100000,overlap_exposure,,24,1.3481923931801942,0.2609833752125261,1.0872090179676681,0.7325863321682018,0.7325863321682018,24,0,0,0.1649361762916169,3.9290440194364695,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,11_100000_plus,equal_project,,24,2.4635314323449564,0.13579925486227087,2.327732177482685,0.7849731837089745,0.7849731837089745,24,0,0,0.03711474065140239,10.772922178684007,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,11_100000_plus,overlap_exposure,,24,1.3625223880992845,0.2556487762995982,1.1068736117996862,0.7849731837089745,0.7849731837089745,24,0,0,0.1758333775617382,2.404495699383639,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,02_100_250,equal_project,uniswap,24,0.3551317231150544,0.1183275936739837,0.23680412944107077,0.36435007612559317,0.36435007612559317,24,0,0,0.0058466220503276736,0.7503672866572919,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,02_100_250,overlap_exposure,uniswap,24,0.5691553434669009,0.21024969110063052,0.35890565236627037,0.36435007612559317,0.36435007612559317,23,1,0,-0.01923030570845849,0.9305557674725813,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,03_250_500,equal_project,uniswap,24,0.6086713527025569,0.1183275936739837,0.49034375902857325,0.7325697146739033,0.7325697146739033,24,0,0,0.13823952296281983,1.101948389134428,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,03_250_500,overlap_exposure,uniswap,24,0.9376688350657373,0.2100597587628661,0.727609076302871,0.7325697146739033,0.7325697146739033,24,0,0,0.24188441132240607,1.4932762197205653,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,04_500_1000,equal_project,uniswap,24,0.7277875211165418,0.1183275936739837,0.6094599274425581,0.8532076620073453,0.8532076620073453,24,0,0,0.2317012925194241,1.2399692800493602,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,uniswap,24,1.0838554440557118,0.20333007996300223,0.8805253640927097,0.8532076620073453,0.8532076620073453,24,0,0,0.2132765754699213,1.5839710451100812,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,uniswap,24,0.8530173097830976,0.1183275936739837,0.734689716109114,0.7994224707927945,0.7994224707927945,24,0,0,0.26326907296537644,1.6998888338488116,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,uniswap,24,1.0928516141801963,0.19329346579312945,0.8995581483870668,0.7994224707927945,0.7994224707927945,24,0,0,0.2701823766809246,1.8275508727743066,descriptive_sensitivity_not_a_hypothesis_test,common_bins
