window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,all_projects,08_10000_25000,solidly,23,1.4424062304747394,17,6,0
24m,all_projects,08_10000_25000,sushiswap,24,2.593075521777077,14,10,0
24m,all_projects,08_10000_25000,swaap,21,0.0,0,0,21
24m,all_projects,08_10000_25000,uniswap,24,4.056529696068784,24,0,0
24m,all_projects,08_10000_25000,valantis,8,0.0,0,0,8
24m,all_projects,08_10000_25000,verse_dex,22,4.497670668464468,7,13,2
24m,all_projects,08_10000_25000,xchange,7,-0.425853216550891,0,2,5
24m,all_projects,09_25000_50000,0x API,16,-0.0005057991703377227,0,3,13
24m,all_projects,09_25000_50000,0x-API,24,0.0,0,0,24
24m,all_projects,09_25000_50000,1inch-LOP,24,0.0,0,0,24
24m,all_projects,09_25000_50000,airswap,19,0.0,0,0,19
24m,all_projects,09_25000_50000,balancer,24,0.8081836786390872,24,0,0
24m,all_projects,09_25000_50000,bancor,20,0.4527303235957517,2,1,17
24m,all_projects,09_25000_50000,carbon_defi,11,0.0,0,0,11
24m,all_projects,09_25000_50000,clipper,22,0.0,0,0,22
24m,all_projects,09_25000_50000,curve,24,0.8536122447316102,23,1,0
24m,all_projects,09_25000_50000,defiswap,16,-0.18043544473816037,0,13,3
24m,all_projects,09_25000_50000,dodo,24,3.7273128947632936,22,2,0
24m,all_projects,09_25000_50000,ekubo,10,3.004640964020707,9,0,1
24m,all_projects,09_25000_50000,eulerswap,7,0.0,0,0,7
24m,all_projects,09_25000_50000,fluid,15,0.0024058851043666945,4,1,10
24m,all_projects,09_25000_50000,fraxswap,24,4.018934749831733,21,2,1
24m,all_projects,09_25000_50000,integral,21,0.0,0,0,21
24m,all_projects,09_25000_50000,kyberswap,11,-0.03127773339847769,0,2,9
24m,all_projects,09_25000_50000,mauve,2,0.0,0,0,2
24m,all_projects,09_25000_50000,maverick,24,2.4680950634391876,20,1,3
24m,all_projects,09_25000_50000,native,8,0.0,0,0,8
24m,all_projects,09_25000_50000,origin_arm,24,0.0,0,0,24
24m,all_projects,09_25000_50000,pancakeswap,24,0.4797973505091145,17,7,0
24m,all_projects,09_25000_50000,shibaswap,24,5.7031107952116775,14,10,0
24m,all_projects,09_25000_50000,solidly,22,0.9532723525945689,13,9,0
24m,all_projects,09_25000_50000,sushiswap,24,0.8912965106808258,16,8,0
24m,all_projects,09_25000_50000,swaap,21,0.0,0,0,21
24m,all_projects,09_25000_50000,swapr,2,0.0,0,0,2
24m,all_projects,09_25000_50000,uniswap,24,2.9132330944264244,24,0,0
