window,scope,trade_size_bin,excluded_project,month,weighting,matched_projects,matched_cells,standardized_bin_rate_pct,standardized_reference_rate_pct,standardized_difference_pp,pooled_difference_pp,matched_pooled_difference_pp,interpretation
30m,all_projects,04_500_1000,,2026-03,overlap_exposure,28,47,0.6365704606066799,0.6467111339720293,-0.010140673365349392,-0.0870348846748123,-0.08706933573805449,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-03,equal_project,28,47,0.7103487916909048,0.35044882778121944,0.35989996390968537,-0.0870348846748123,-0.08706933573805449,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-04,overlap_exposure,28,47,1.4389059104940114,0.7192976136806868,0.7196082968133245,0.6115283745169022,0.6114000540052438,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-04,equal_project,28,47,0.8610948882294717,0.4128903357379902,0.44820455249148144,0.6115283745169022,0.6114000540052438,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-05,overlap_exposure,27,46,1.1054098743035659,0.6163877462879026,0.4890221280156633,0.41372234373179595,0.41369294716266153,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-05,equal_project,27,46,0.6204009875159371,0.3489724214911703,0.2714285660247668,0.41372234373179595,0.41369294716266153,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-06,overlap_exposure,26,44,0.7445366245372638,0.37065953080687314,0.37387709373039063,0.3162064066683646,0.316201765695707,observed_standardization_no_causal_or_significance_claim
30m,all_projects,04_500_1000,,2026-06,equal_project,26,44,0.3795005192713819,0.16517551678006556,0.21432500249131634,0.3162064066683646,0.316201765695707,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-01,overlap_exposure,23,40,4.92909573760768,0.5522164145486089,4.376879323059071,4.0472855787819135,4.047365137546791,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-01,equal_project,23,40,1.1915038660160744,0.039889449257636295,1.151614416758438,4.0472855787819135,4.047365137546791,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-02,overlap_exposure,22,39,3.6378964674015903,0.48800379805966043,3.1498926693419307,2.842875435285388,2.8428839521064533,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-02,equal_project,22,39,0.7546419948364247,0.03322673732295944,0.7214152575134652,2.842875435285388,2.8428839521064533,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-03,overlap_exposure,22,40,2.070879367842226,0.20255295967830386,1.8683264081639224,1.823473571775254,1.8234849983866197,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-03,equal_project,22,40,0.7611162104904857,0.03884709744737302,0.7222691130431127,1.823473571775254,1.8234849983866197,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-04,overlap_exposure,23,40,4.305196012452214,0.462329953985184,3.8428660584670293,3.6286724980032776,3.6286224816910644,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-04,equal_project,23,40,1.2998132875981738,0.07937143380397445,1.2204418537941994,3.6286724980032776,3.6286224816910644,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-05,overlap_exposure,24,41,6.139279965059955,0.7165204656181259,5.422759499441829,5.05262640372703,5.052552915295296,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-05,equal_project,24,41,1.4957115955171811,0.06839686875018232,1.4273147267669988,5.05262640372703,5.052552915295296,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-06,overlap_exposure,22,40,5.430559415501693,0.5782057157967444,4.852353699704948,4.676629606819539,4.676647942870078,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-06,equal_project,22,40,1.7258934428874377,0.06681168857044098,1.659081754316997,4.676629606819539,4.676647942870078,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-07,overlap_exposure,22,40,5.42292959824362,0.7081699558344617,4.714759642409158,4.418639102209091,4.41858436106842,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-07,equal_project,22,40,1.2167553384250633,0.10090252419700013,1.1158528142280633,4.418639102209091,4.41858436106842,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-08,overlap_exposure,22,40,3.9741791288844004,0.7322598836021142,3.2419192452822863,3.005466069873214,3.0054182525780804,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-08,equal_project,22,40,0.9597810864405343,0.13902372723752773,0.8207573592030065,3.005466069873214,3.0054182525780804,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-09,overlap_exposure,25,44,4.043550803327762,0.7110295481964506,3.332521255131312,3.141805176876606,3.1417502216824653,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-09,equal_project,25,44,0.9834839238542071,0.17599905959175746,0.8074848642624496,3.141805176876606,3.1417502216824653,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-10,overlap_exposure,26,44,3.851797177735756,0.36786450940277204,3.483932668332984,3.3216896289292484,3.321666403460793,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-10,equal_project,26,44,0.7076993780844384,0.041737957014618216,0.6659614210698203,3.3216896289292484,3.321666403460793,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-11,overlap_exposure,25,42,2.5164604276757836,0.22859725220457133,2.2878631754712124,2.1660718710299163,2.166056217416855,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-11,equal_project,25,42,1.1920416489494827,0.07329656419843368,1.118745084751049,2.1660718710299163,2.166056217416855,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-12,overlap_exposure,26,45,1.6379081910583535,0.14056450438648102,1.4973436866718726,1.460749734475808,1.4607431021254502,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2024-12,equal_project,26,45,0.7699056102130684,0.024303171603671368,0.745602438609397,1.460749734475808,1.4607431021254502,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-01,overlap_exposure,26,45,1.80491611311306,0.18165830449108528,1.6232578086219747,1.591885613858407,1.5918700691042638,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-01,equal_project,26,45,1.0015431631839062,0.06358913622341465,0.9379540269604916,1.591885613858407,1.5918700691042638,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-02,overlap_exposure,26,45,1.7497947121639368,0.44697782669483277,1.302816885469104,1.2041555940869788,1.2041282835343523,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-02,equal_project,26,45,1.9678591711580276,0.16440595905600242,1.8034532121020252,1.2041555940869788,1.2041282835343523,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-03,overlap_exposure,26,46,1.562510974953348,0.5957415187897986,0.9667694561635493,0.8564917671838933,0.8564710195661263,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-03,equal_project,26,46,1.0705945045204104,0.23005474649544885,0.8405397580249616,0.8564917671838933,0.8564710195661263,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-04,overlap_exposure,26,46,1.3439837680747433,0.6799643727786957,0.6640193952960475,0.5248312910528753,0.5247339726587595,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-04,equal_project,26,46,1.102715305723876,0.1896234500259004,0.9130918556979756,0.5248312910528753,0.5247339726587595,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-05,overlap_exposure,27,47,1.7172961290918924,0.47243198786303825,1.2448641412288544,1.1227957320364343,1.1227353134742653,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-05,equal_project,27,47,1.002234748906767,0.11626850516105254,0.8859662437457144,1.1227957320364343,1.1227353134742653,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-06,overlap_exposure,26,46,1.7329672580464048,0.549613245080108,1.1833540129662967,1.110450144609129,1.1103795524799638,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-06,equal_project,26,46,0.9066801542424983,0.10566201539791292,0.8010181388445854,1.110450144609129,1.1103795524799638,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-07,overlap_exposure,28,49,1.346424318835981,0.4292478720660027,0.9171764467699784,0.8818290844973714,0.8817531782472317,observed_standardization_no_causal_or_significance_claim
30m,all_projects,05_1000_2500,,2025-07,equal_project,28,49,0.9589405735280316,0.16037749429549242,0.7985630792325391,0.8818290844973714,0.8817531782472317,observed_standardization_no_causal_or_significance_claim
