sample,excluded_project,trade_size_bin,trade_size,full_log_odds,loo_log_odds,log_odds_change_loo_minus_full,full_odds_ratio_vs_under_100,loo_odds_ratio_vs_under_100,OR_ratio_loo_vs_full,covariance_valid,status
24m_primary_all_project_versions,dodo,02_100_250,$100–250,0.8273084816202131,0.8200748764602268,-0.007233605159986278,2.287154529987947,2.2706698508881056,0.9927924943926162,True,ok
24m_primary_all_project_versions,dodo,03_250_500,$250–500,1.205295906884678,1.1979253766663425,-0.007370530218335558,3.337746594150325,3.3132360707541735,0.9926565655286389,True,ok
24m_primary_all_project_versions,dodo,04_500_1000,$500–1k,1.460651348536876,1.4533337861415543,-0.007317562395321664,4.30876512239444,4.277350544012093,0.9927091457784338,True,ok
24m_primary_all_project_versions,dodo,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6161278158667185,-0.0076709500947380604,5.072322329889904,5.033561654105237,0.9923583965560981,True,ok
24m_primary_all_project_versions,dodo,06_2500_5000,$2.5k–5k,1.820145693432597,1.8139219227064198,-0.006223770726177191,6.172757714633513,6.13445919011267,0.9937955568173282,True,ok
24m_primary_all_project_versions,dodo,07_5000_10000,$5k–10k,1.9746747087741696,1.969795138631602,-0.00487957014256768,7.204275784919845,7.169207644208718,0.9951323156194919,True,ok
24m_primary_all_project_versions,dodo,08_10000_25000,$10k–25k,1.997572755231707,1.993276210951064,-0.004296544280643078,7.3711427999472265,7.339540297898963,0.9957126726606775,True,ok
24m_primary_all_project_versions,dodo,09_25000_50000,$25k–50k,1.8699601737307865,1.862100407979172,-0.0078597657516144,6.488037999793154,6.437243419169667,0.9921710414419418,True,ok
24m_primary_all_project_versions,dodo,10_50000_100000,$50k–100k,1.613626568679092,1.5945741826299678,-0.019052386049124292,5.020987204633078,4.92623095073495,0.9811279634788367,True,ok
24m_primary_all_project_versions,dodo,11_100000_plus,≥$100k,1.7461015254186734,1.7606183446009949,0.014516819182321505,5.732212176502031,5.816032595105958,1.0146226999320664,True,ok
24m_primary_all_project_versions,ekubo,02_100_250,$100–250,0.8273084816202131,0.8276104741316402,0.00030199251142715156,2.287154529987947,2.2878453378326276,1.0003020381157561,True,ok
24m_primary_all_project_versions,ekubo,03_250_500,$250–500,1.205295906884678,1.2036095218787435,-0.001686385005934543,3.337746594150325,3.3321226117729528,0.9983150361422797,True,ok
24m_primary_all_project_versions,ekubo,04_500_1000,$500–1k,1.460651348536876,1.4570139887859443,-0.0036373597509316014,4.30876512239444,4.293121062347279,0.9963692474287231,True,ok
24m_primary_all_project_versions,ekubo,05_1000_2500,$1k–2.5k,1.6237987659614566,1.620110018818008,-0.0036887471434485786,5.072322329889904,5.053646282170562,0.9963180479266295,True,ok
24m_primary_all_project_versions,ekubo,06_2500_5000,$2.5k–5k,1.820145693432597,1.8170744254208144,-0.003071268011782591,6.172757714633513,6.153828604384836,0.9969334435071374,True,ok
24m_primary_all_project_versions,ekubo,07_5000_10000,$5k–10k,1.9746747087741696,1.971905468800322,-0.0027692399738477036,7.204275784919845,7.184353014631352,0.9972345908342105,True,ok
24m_primary_all_project_versions,ekubo,08_10000_25000,$10k–25k,1.997572755231707,1.9949175446978482,-0.002655210533858865,7.3711427999472265,7.351596824761325,0.997348311419765,True,ok
24m_primary_all_project_versions,ekubo,09_25000_50000,$25k–50k,1.8699601737307865,1.8612349344704675,-0.008725239260318984,6.488037999793154,6.431674565716471,0.9913127151723711,True,ok
24m_primary_all_project_versions,ekubo,10_50000_100000,$50k–100k,1.613626568679092,1.5984655975433586,-0.015160971135733448,5.020987204633078,4.945438306981466,0.9849533777776012,True,ok
24m_primary_all_project_versions,ekubo,11_100000_plus,≥$100k,1.7461015254186734,1.7512331157641603,0.005131590345486936,5.732212176502031,5.761703144231911,1.0051447795060293,True,ok
24m_primary_all_project_versions,eulerswap,02_100_250,$100–250,0.8273084816202131,0.8273084816202206,7.549516567451064e-15,2.287154529987947,2.2871545299879643,1.0000000000000075,True,ok
24m_primary_all_project_versions,eulerswap,03_250_500,$250–500,1.205295906884678,1.2052959068846978,1.9761969838327786e-14,3.337746594150325,3.337746594150391,1.0000000000000198,True,ok
24m_primary_all_project_versions,eulerswap,04_500_1000,$500–1k,1.460651348536876,1.4606513485368715,-4.440892098500626e-15,4.30876512239444,4.308765122394421,0.9999999999999956,True,ok
24m_primary_all_project_versions,eulerswap,05_1000_2500,$1k–2.5k,1.6237987659614566,1.623798765961443,-1.354472090042691e-14,5.072322329889904,5.072322329889835,0.9999999999999865,True,ok
24m_primary_all_project_versions,eulerswap,06_2500_5000,$2.5k–5k,1.820145693432597,1.8201456934325837,-1.3322676295501878e-14,6.172757714633513,6.1727577146334305,0.9999999999999867,True,ok
24m_primary_all_project_versions,eulerswap,07_5000_10000,$5k–10k,1.9746747087741696,1.9746747087741776,7.993605777301127e-15,7.204275784919845,7.204275784919902,1.000000000000008,True,ok
24m_primary_all_project_versions,eulerswap,08_10000_25000,$10k–25k,1.997572755231707,1.9975727552317175,1.0436096431476471e-14,7.3711427999472265,7.371142799947303,1.0000000000000104,True,ok
