days_since_start,volume_millions,ma7,ci_upper,ci_lower
62,156.17273794994304,281.3993590759862,424.38908602282146,138.4096321291509
63,274.7607951318951,271.97097265206907,418.71793055212055,125.22401475201758
64,389.95748289390303,272.36216173725916,419.3413002604209,125.38302321409739
65,326.2429797864145,268.1088665613286,421.3748794756823,114.84285364697496
66,230.80494696401732,284.5769307507673,403.99132674447037,165.16253475706424
67,292.9845307356361,294.15339500696894,420.18247281900653,168.12431719493136
68,205.8385924674913,288.3081081634322,396.85495660293117,179.76125972393328
69,271.44918727601373,286.9128517360365,393.49769206032215,180.32801141175082
70,341.79604492530683,299.1499924214234,395.23703089011326,203.06295395273355
71,349.04047498914593,316.60915830847773,444.92467014434976,188.2936464726057
72,316.4761847946439,329.97971256175293,419.4022778888111,240.55714723469475
73,316.46493176172584,326.512856259471,427.2029559565227,225.82275656241927
74,415.1986919450167,315.2517381638451,424.823329365606,205.68014696208425
75,299.43247224041784,323.57302394824006,451.58973016254663,195.5563177339335
76,247.1811931600399,321.49278756470005,450.4771979457836,192.50837718361655
77,262.9682182559256,309.7197679435677,454.2700928649472,165.1694430221883
78,407.2894754799106,288.0213550538419,402.2151317108717,173.82757839681207
79,301.91453010986424,263.674590445284,426.43220487054873,100.91697602001932
80,234.05379441379915,248.73409151476153,435.0174618063336,62.450721223189475
81,263.30980171693574,248.46782087873433,434.6651004512605,62.270541306208116
82,129.00511998051275,248.9567814873106,437.0311219781081,60.882440996513054
83,142.5977006463826,253.1494231179534,447.66137900745935,58.637467228447434
84,261.1043238037353,260.4449059954695,455.42543320754555,65.46437878339353
85,410.71219973994437,260.7952892336985,455.8073536808233,65.7832247865737
86,331.263021524364,279.96054964880705,438.9149541286554,121.00614516895874
87,285.12217455641184,299.43809178606045,406.6106500405177,192.2655335316032
88,265.76248438453854,304.64539053835966,406.75238784593074,202.53839323078859
89,263.1619428862727,325.06790330459904,527.6966087382311,122.4391978709669
90,278.9404956071566,335.2748104844827,546.0513434772428,124.49827749172263
91,297.5554150698297,347.30846331752815,554.4582695667392,140.15865706831713
92,553.6697891036201,342.969462315789,558.8141786147087,127.12474601686924
93,402.71137178354957,339.1820235800438,562.0813734474294,116.28267371265812
94,369.3577443877299,331.95135611429987,566.4605064100476,97.44220581855205
95,235.3894773723644,340.0619008156208,573.0057970869876,107.11800454425398
96,236.6498717360565,311.50721414535326,458.18642859563977,164.82799969506672
97,228.32582334694916,295.7596777319824,419.4905312113124,172.02882425265238
98,354.32922797907577,285.05286476554767,391.4887189630744,178.61701056802093
99,353.78698241174726,297.43099515391924,397.12274784263263,197.73924246520585
100,292.4786168899535,328.2324977549442,464.86905910072016,191.5959364091682
101,294.4100536226868,347.495414718174,454.2528359240374,240.7379935123106
102,322.03639009096526,351.1887157574608,460.6884613216822,241.68897019323936
103,452.2603899432316,344.14269779008157,458.86471734076656,229.4206782393966
104,363.166242089558,337.0105461993392,470.54688327474275,203.47420912393565
105,380.18233525408334,323.91551999692376,489.576946115366,158.25409387848154
106,304.4648566400925,317.47844337364376,486.78998141008566,148.16690533720185
107,242.5535557547569,276.54558437002385,432.3325029987075,120.75866574134017
108,202.7448702057791,252.33141665623543,398.05586470257424,106.6069686098966
109,276.97685372800527,240.5969657331866,347.7908456893947,133.40308577697851
110,165.73037691789168,238.31456215966296,339.9214022765602,136.70772204276574
111,193.66706809303923,279.77782061010373,520.8811957459842,38.67444547422326
112,298.0411787927415,295.28041812787416,527.4205190566912,63.14031719905711
113,288.48803162542697,295.0102497360189,527.2500295638797,62.770469908158105
114,532.7963649078421,306.2335491427289,516.7488627909054,95.7182354945524
115,311.26305283017217,313.5795858672205,509.4254254382176,117.73374629622339
116,275.085674985019,318.6422312035223,514.4474620561554,122.83700035088918
117,244.29347276486135,329.7488082194048,526.3571430615642,133.1404733772454
118,245.08932516448039,293.35026369823976,382.9832169266912,203.7173104697883
119,333.47969614685354,280.7076800099818,382.2077136959509,179.20764632401273
120,366.23407073660496,274.83128877274476,382.1951505736564,167.46742697183313
121,278.0065532596869,262.12251030988267,401.22351161409546,123.02150900566988
122,222.7649670123664,248.5168601256594,411.0109888341557,86.0227314171631
123,233.95093632435967,234.3307812928916,379.2865101681798,89.37505241760343
124,155.33202352482678,211.64223716516986,301.2482630913348,122.0362112390049
125,149.84977387491764,204.16348169402156,275.46853193328343,132.85843145475968
126,234.17714431747908,203.11441568595188,273.39304016090335,132.8357912110004
127,207.4142618425525,204.12672985518495,276.55915859499487,131.69430111537505
128,225.65526496164884,198.49234922181384,291.0371069065862,105.9475915370415
129,215.42150495587873,191.8415567297156,304.3310411498651,79.3520723095661
130,241.03713550899104,186.90760607590997,293.84758970733196,79.96762244448796
131,115.89135909122892,185.98959560369892,292.2443709544578,79.73482025294004
132,103.29422643023001,192.59209811159693,314.28795910613246,70.89623711706136
133,199.6394897408397,194.53102671995387,318.2555373430709,70.80651609683684
134,200.9881885370752,196.82446631093825,324.9074902067708,68.74144241510572
135,271.87278251693493,205.94608134939972,315.6061031028901,96.28605959590934
136,228.99400521437715,218.25987668622068,287.3421318749033,149.17762149753804
137,257.0912126458819,238.55970447857234,350.2089642275856,126.91044472955909
138,179.74266436045923,270.8862587488143,443.16526109616433,98.60725640146433
139,189.49079378797688,267.6060225702298,440.6389549334676,94.57309020699205
