bot_address,total_volume_usd
0x420cafeed3ac32cb6f3d7375a2c6195c8fca312a,4567692.93369619
0x3e6333815468667c84e24024e3f74ce2d90dae20,4497134.301904009
0xa7733d4c849d8c1b19c73eeac9c54127a17be542,4458422.963918745
0x000020ca385900f0e88f3b00750000007c000f30,4367797.859068841
0x067e5d651035ccbee4bf31f3a1e30ca86c8b52c4,4184139.874194493
0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,4146517.42160616
0xe2f011b751bc2421ce0618bff526ad3de582ce7d,4066857.7375657624
0xbb365c77487cde86efd1e330f334df9f03173a83,4048866.5985108046
0xc1115e19de3fc9398744e7be7f72262e639acddc,4044739.7698553605
0x7fdeb46b3a0916630f36e886d675602b1007fcbb,4032712.1837108387
0x4e4e761900490000da005500baf1cbed00266e00,3802715.3568743067
0x2b85986116d29864ac500441ccc448517cdd0af9,3792126.8533403785
0xf42f6714506511c1778cf1d9cbfc731bb67ba8bb,3784606.9936381746
0x56534741cd8b152df6d48adf7ac51f75169a83b2,3768325.0712236837
0x419365fecbaeb4d67d6b7ad4856a3a7cb65a399c,3723555.565304711
0x9bab9f7dfb7165a1802f848291dc9c6b98037612,3688173.940858078
0x6efbaef7d3e8afaee9f57f14900c19a164bde6df,3666331.997886059
0xbd5d080f785bd388bc3222d4b37cecf1b39cbd3a,3651607.38969288
0x5777d92f208679db4b9778590fa3cab3ac9e2168,3600171.024703249
0x5814fc20f0e09114503569ed6b27a4a86c9f8de4,3580206.7607973404
0xa8fb7d2b5ba043d17b8d683114b4b4c2a84ff329,3567610.940982346
0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,3560122.8624363057
0x0f9ae9f86154c8afee7e885d38e239f92ca9c37b,3474024.6589538082
0xb6569481dccddd527c2b0e8ba32f494e52224ca1,3413469.6753839487
0xfb2fb49a79df0a82fafcadd24f36e7854e1ce6a2,3395546.7235736055
0x932298f5c5ea1cdaff1ad35aaa3a8c65a9ea8df4,3354498.5847191364
0xf0e77cb32d7c6851e045c9fdb7ac0af23ee1c99f,3327235.051747901
0x80eabd6df366b62fbb970029363c3e52eff00953,3325395.7095964495
0xca3ff0e1b7cefaa1876c5a214ae8d3a09f59732b,3321627.1784758363
0x6388dbc119f9a7b0f7bc8ebeb93abdd2c7b8d4b3,3319125.9047299996
0xc885cdc63bc5098a9cc00cc6ebae7983e2d3d4d1,3290886.0571992286
0xa689a13994748ff3cd0e700b0a7d5a7ddb3eedbb,3287510.8263645517
0x420cafe478ebb83542a70089e5a65da67cc829ac,3236460.3710904215
0x97c1e72ea73c5d3737080b884201e39d7f26c845,3235744.0577485473
0x420cafe569e2bbb9c6ca3d42a5fd228e3366c58e,3215640.623355209
0xf3a150716cb43142d51d1940f336cf8e01ab83a0,3205667.1610749215
0xcf05368fa36128a5ba01606474d4bd181a49735c,3156493.772812332
0x6ec94f50cadcc79984463688de42a0ca696ec2db,3152830.951138393
0xe6ff8b9a37b0fab776134636d9981aa778c4e718,3119526.0704160007
0x00a2712e3200e89c6b8500b2da5c6c9431330000,3057269.7518004347
0x1fdb319cc1be16ff75ef84e408b0bc1594dd4d3c,3039852.305890354
0x5c3f19b909fa8afc04ce200262e066522ac2e5ea,2963725.6152826427
0x00000000fda4c75bfb5e0f3a75ce3d811b6f6c88,2938883.6422907403
0x05c45c965a96af8b846cc3025066d5680f31ca52,2916903.8422410702
0xac0f02f055c19b7010f3250ff9d00ff74cddf29e,2900216.953910349
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,2844626.7506296253
0xc08de8b4ecf22f38374fa14583b8214022e53165,2797171.265899108
0x57b9f348bf12feb243409d10567042655cf37115,2777219.251213775
0xb6a4ea3c38d7b1edd0cfb414d1f942d9cc8d89ad,2749102.6743730474
0x21b48803c7dbdf4981a446cca823bf35e4646fd7,2662741.534594735
0xb9a4406982d990648093c71eff9f1f63a040152e,2625787.88325503
0x00df657aa9a100a600001700004a00359a639f47,2552566.4120190316
0x0dc9db1c2f7fbc6f7e68df772969119eea085934,2532293.9955125055
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,2527667.424066242
0xa7c190dae786dae11204f49404551887a76f6071,2518167.911810532
0xcf6daab95c476106eca715d48de4b13287ffdeaa,2491513.4757279893
0xfeed001448bed378402ed4b73c2a4ce98ffd0ba9,2486168.9603156294
0x11f7c6ad9d6ad8a6c0054646833a05299ff498fb,2468491.1525980225
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,2468013.2263160367
0xebce363564fa8b55d85aaf681156087116b148db,2465206.6321552712
0x871916af1419fa4000bfe6507c70f49a7aaeadd2,2448398.1544982633
0xefb47fcfcad4f96c83d4ca676842fb03ef20a477,2400432.0929951784
0xc45a81bc23a64ea556ab4cdf08a86b61cdceea8b,2365830.5720906933
0x8a3c015e80567ba1e6ee5dbeea775e40ef90c008,2360244.650221248
0x80ed1b41476b95fb47830825b65fd3bf59f6a348,2304557.997250911
0xf0e5be7cdd185841e5871a6a41b97f8fe356181c,2246539.620185578
0x520658654a231f8e452277c7b7e331032f516c79,2211889.247360755
0x79fe75708e834c5a6857a8b17eeac651907c1da8,2207011.930086043
0x185a1ff695d30a22c19f44c6b41e2d6d1c8c1f11,2199693.9514048067
0x6980a47bee930a4584b09ee79ebe46484fbdbdd0,2170713.9754778505
0xaab2f49e5b0779d50fef7d801bb4bc682dbbdb9e,2103119.6560924677
0x0b02428e7c2c24ccf64426e637aee0c879bd1860,2100202.189186118
0x2cfa5349d50d00e2d0c1e2f546b7e4ba72ddc293,2058828.7396497522
0x978052f0d6f6eea6297f1e2998a5880ade26415b,2058629.397546175
0x3733493ec5d2c181dcd7c54ed100641c0f07bb0e,2052006.1559649096
0xd6a2ea1dd494f927e88fa9cfcad977cbb6265a28,2024686.4023239086
0x0a8e00ec0ed7a20088008c0056cb9000defa0089,2015261.977318859
0x0f9f18d18c8227a276375940b39ca086fbde1604,1998090.2276468126
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,1988047.1667113157
0x00f72dde000091c62c51c600af6f0000dd00562e,1927626.7022917909
0xe15cb0ebcd24b4b0ab1c16b4a46247003930fd99,1920580.9936251515
0x99d8e05cdc5cac6613aabad0ffb844f2e665fddc,1892450.436495888
0x8e354f07ac2073a38cdc817cb8cebc8cd219ccbd,1862069.1590989458
0xb758fe8542927f71510ecab4741c3a4b0c19e4cb,1842294.5599356778
0x2f3db8e6ebb5e0f1d3c4b799bb47b02f5b1f9eba,1841167.154967836
0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,1833267.1385712652
0x961ec3bb28c9e98a040c4bded38917aa96b791be,1756161.9184354006
0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,1729237.068627415
0x3a1b97fc25fa45832f588ed3bfb2a0f74ddbd4f8,1692930.1705230884
0x00000000a4abed8f0da9593332674e0188ef964d,1636103.5676678065
0x2201d2400d30bfd8172104b4ad046d019ca4e7bd,1632000.5848798957
0xaa4cf5eea72fd54c215071e6cd816f29699da023,1629448.5117975934
0x37922c69b08babcceae735a31235c81f1d1e8e43,1621972.8950378168
0x000000002858ffb63b7576be62065ff77e9bc9e1,1614464.1076609495
0x13cf8829d2eaf6a70a33c6b9bb67b6c2f5d135be,1601211.475173629
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,1590983.5993146228
0x1460c095a22f80157003d14ac3cf7fb774b4b01d,1562549.4720661296
0x1264f83b093abbf840ea80a361988d19c7f5a686,1560444.9829495181
0x4d3866284158e1234965283e5c8291f6d4b25871,1543371.0333554056
0x728f1bc2c3170fa9fd9baaa4105781ac4af6c35f,1540560.6622810822
0x05da189e1b1389a98b389d6ccb27efb6d206f257,1521881.1855683257
0x3c5867dfa437be99ace546d44bd1a356a5a7164e,1508628.8923788667
0xae4045ffeddf61d570e6d1fe2d71ded1a2e85a88,1476678.2552680888
0x5ba84601bd66a09034318836761041a5cc9a7ccb,1462674.4931497565
0x540c57a187e8405df4522b3786b774cecbf2fb5f,1452065.2551793822
0x95abaf1f115518353f64fc85ef3ad6542492f034,1441083.5320535523
0x7b94a5622035207d3f527d236d47b7714ee0acba,1432015.4869238103
0x1e49768714e438e789047f48fd386686a5707db2,1422418.5080177528
0x51c1d5cdf10dda49219054920c22c8d4a23eed89,1396973.8614228244
0xd1cc8623539e2875253ea50509a160bfc791e102,1395816.8462360322
0x3058ef90929cb8180174d74c507176cca6835d73,1388141.2971547102
0xc40aeae781f9953078897215bf52e1d9a2518f06,1376682.6254151603
0xe75b4e67c34f98594845f224ff0330d0b03f5863,1355540.508576794
0x5b2904022847e8a63847277df635162a0e7fc498,1348555.9724055508
0x1e1dfff79d95725aaafd6b47af4fbc28d859ce28,1326466.3478176072
0xafa43241cf1a1d12268e75f1e7258b805e708da5,1325401.5549069108
0x02edd21f1db8eb146be60998e9801691e725f119,1288492.4867111787
0x4bb0925fa50da9b4c8936869433b48e78ccc5c13,1285631.3593628728
0x7c1c4a2cf81d2fc83b89bfd34f4d2c7e90044b32,1284815.172647607
0x000000000001579c68832e3b57cbf6da116fa987,1268871.5132328405
0x9db9e0e53058c89e5b94e29621a205198648425b,1254547.9163869699
0x681535922425a4264b3670d9430afc6dc4de103e,1254007.33035598
0x00400020b5754b0089003100790f009214358bf9,1246418.2214764808
0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,1229710.3128162108
0x8c8e79b45e8afb49c3ecea1ea239ce420b54e096,1227026.7195614197
0x57654ae132413e81459ad2ae70c2570a9b89fb53,1223148.3437577256
0x62db7097f5980031644c60cdb217bd0d0dfd2cf0,1217529.3610116867
0x52c77b0cb827afbad022e6d6caf2c44452edbc39,1205904.5727801046
0xc31e810375ebd1a285fbbb1420294ba17232698f,1201047.9894957365
0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,1200777.2928874872
0xa85b93983767729fcceac60e32a0bf87cd632108,1197493.1895820992
0x93c041eda52849753066b6d729e5a15c19766a69,1194428.7772933391
0xf7d31825946e7fd99ef07212d34b9dad84c396b7,1194002.968992878
0x6eef09d380878b71f86c3cc2ee2341ce1d40ad19,1189042.5485584678
0x00000027f490acee7f11ab5fdd47209d6422c5a7,1175255.252755651
0xfb3cd0b8a5371fe93ef92e3988d30df7931e2820,1118425.8878594125
0xbe80225f09645f172b079394312220637c440a63,1116753.4531683298
0x0000000000c2f3017e5af636ea91bd68ec3888ed,1109180.000094924
0x7c706586679af2ba6d1a9fc2da9c6af59883fdd3,1058480.8347177454
0x57f58c62ce9b6f927302300a5953efd958473051,1051118.461540398
