victim_tier,pctile_in_tier,trades_in_bin,lower_edge_usd,upper_edge_usd,mean_usd,volume_usd,cutoff_p50,cutoff_p90
Small,62,15015,3022.344459266599,3088.16,3055.284812858577,4.587510146507154e+07,1001.8474213724877,8986.607999999998
Small,63,15016,3088.161,3156.6079999999997,3122.0993969027973,4.6881444543892406e+07,1001.8474213724877,8986.607999999998
Small,64,15015,3156.6086999999998,3229.965470627034,3192.299174897911,4.7932372111092135e+07,1001.8474213724877,8986.607999999998
Small,65,15015,3229.969426143697,3306.1014,3268.57891588089,4.907771242195156e+07,1001.8474213724877,8986.607999999998
Small,66,15016,3306.12,3378.6876107722865,3341.363575593577,5.017391545111315e+07,1001.8474213724877,8986.607999999998
Small,67,15015,3378.6889562941465,3452.203746761572,3414.8393369929354,5.127381264494892e+07,1001.8474213724877,8986.607999999998
Small,68,15016,3452.2054678675313,3515.028816823016,3485.075527435603,5.233189411997301e+07,1001.8474213724877,8986.607999999998
Small,69,15015,3515.0316967276685,3597.0910968195244,3554.713074041332,5.3374016806730606e+07,1001.8474213724877,8986.607999999998
Small,70,15016,3597.094246747452,3686.9445075877006,3641.767308869426,5.46847779099833e+07,1001.8474213724877,8986.607999999998
Small,71,15015,3686.9517540688585,3773.7335400316597,3729.910294634665,5.6004603073939495e+07,1001.8474213724877,8986.607999999998
Small,72,15015,3773.74,3857.798587352014,3814.1220230107156,5.726904217550589e+07,1001.8474213724877,8986.607999999998
Small,73,15016,3857.80572445815,3952.133064558555,3905.2692130398377,5.8641522503006205e+07,1001.8474213724877,8986.607999999998
Small,74,15015,3952.13324,4021.800106205179,3988.376065234613,5.988546661949772e+07,1001.8474213724877,8986.607999999998
Small,75,15016,4021.8024153279475,4142.579,4079.807502293617,6.126238945444095e+07,1001.8474213724877,8986.607999999998
Small,76,15015,4142.606866836851,4271.931318269894,4206.597732703367,6.316206495654106e+07,1001.8474213724877,8986.607999999998
Small,77,15016,4271.935956009472,4407.034293685849,4340.283008304295,6.5173689652697295e+07,1001.8474213724877,8986.607999999998
Small,78,15015,4407.072567584548,4528.803175,4468.828704224765,6.709946299393484e+07,1001.8474213724877,8986.607999999998
Small,79,15015,4528.834,4659.149999047566,4594.583618150267,6.898767302652626e+07,1001.8474213724877,8986.607999999998
Small,80,15016,4659.1531009783,4788.984830147214,4725.233094643314,7.0954100149164e+07,1001.8474213724877,8986.607999999998
Small,81,15015,4789.0005053732175,4898.432702417648,4844.412670056788,7.273885624090266e+07,1001.8474213724877,8986.607999999998
Small,82,15016,4898.4397876676,4973.26215,4939.894274013504,7.417745241858678e+07,1001.8474213724877,8986.607999999998
Small,83,15015,4973.26920546236,5004.988325904415,4992.826999850486,7.496729740275504e+07,1001.8474213724877,8986.607999999998
Small,84,15016,5004.988398857568,5094.125583427233,5040.700694688497,7.569116163144247e+07,1001.8474213724877,8986.607999999998
Small,85,15015,5094.135,5238.344164181326,5164.674722782679,7.754759096258193e+07,1001.8474213724877,8986.607999999998
Small,86,15015,5238.344849365352,5395.60534887133,5313.500406428995,7.978220860253136e+07,1001.8474213724877,8986.607999999998
Small,87,15016,5395.613837122294,5575.99057289046,5485.873673960643,8.237587908819301e+07,1001.8474213724877,8986.607999999998
