date,sandwich_trade_count,priced_trade_count,total_sandwich_volume_usd,unique_sandwich_bots,unique_transactions
2024-11-22,8029,8019,2.485367672769003e+08,166,5807
2024-11-23,7369,7347,2.2183385597700366e+08,320,5244
2024-11-24,8005,7998,2.4770174196172336e+08,197,5904
2024-11-25,7528,7524,4.251099333185843e+08,196,5623
2024-11-26,7519,7505,2.809575087020638e+08,183,5656
2024-11-27,8555,8551,4.2853538702530134e+08,205,6203
2024-11-28,6885,6879,2.56705973951848e+08,242,5076
2024-11-29,6540,6534,2.5410098941442597e+08,191,4812
2024-11-30,6194,6190,2.1796835729187092e+08,175,4711
2024-12-01,5647,5643,2.004726957426822e+08,221,4300
2024-12-02,5332,5325,2.421025857474042e+08,160,4160
2024-12-03,5088,5082,2.9782458037885636e+08,141,3848
2024-12-04,4806,4804,2.4755324759407693e+08,150,3689
2024-12-05,4561,4557,3.202391287392872e+08,147,3596
2024-12-06,4777,4775,8.443422433578793e+08,141,3817
2024-12-07,4656,4652,3.135563455664878e+08,142,3642
2024-12-08,5341,5339,2.585202910206056e+08,143,4213
2024-12-09,3928,3928,2.5955893734716243e+08,122,3154
2024-12-10,3940,3934,1.9520267975378585e+08,118,3222
2024-12-11,4353,4347,2.3170747787187096e+08,116,3502
2024-12-12,3746,3744,2.4696043205451795e+08,111,3095
2024-12-13,4422,4420,2.3568992360478342e+08,119,3504
2024-12-14,4504,4502,1.9304381554083818e+08,138,3624
2024-12-15,5264,5264,2.6811176682066032e+08,141,4125
2024-12-16,4955,4933,3.601864394977604e+08,176,3953
2024-12-17,4672,4661,2.8986092114101225e+08,147,3740
2024-12-18,4676,4672,2.5890566653503987e+08,131,3742
2024-12-19,4640,4635,2.6271907735869148e+08,153,3637
2024-12-20,5125,5125,2.7562312944313717e+08,151,4016
2024-12-21,6400,6396,1.7260432116394842e+08,154,4900
2024-12-22,7197,7183,1.5937048436459818e+08,177,5379
2024-12-23,6266,6260,1.7973534405776024e+08,148,4764
2024-12-24,6988,6980,1.70092746523032e+08,154,5272
2024-12-25,6046,6042,1.4434411822878504e+08,138,4741
2024-12-26,7206,7200,2.50161379436889e+08,172,5428
2024-12-27,7479,7473,2.5440841817401308e+08,158,5706
2024-12-28,8730,8726,3.077482226170259e+08,156,6373
2024-12-29,7552,7546,2.729615277584554e+08,179,5688
2024-12-30,6549,6546,2.1313895654357982e+08,164,5073
2024-12-31,8668,8664,3.767102595811227e+08,213,6470
2025-01-01,10125,10125,2.3773851299130884e+08,145,7118
2025-01-02,5311,5305,1.9736286174788985e+08,117,4019
2025-01-03,8133,8127,2.299862125788514e+08,157,5933
2025-01-04,9878,9869,2.3276083611788762e+08,165,6957
2025-01-05,8041,8001,2.1218758722216135e+08,145,5866
2025-01-06,8162,8073,3.6335778435288966e+08,132,5934
2025-01-07,7745,7724,2.840057947736943e+08,226,5595
2025-01-08,7139,7137,2.60053818818018e+08,155,5280
2025-01-09,5747,5747,2.31376044343145e+08,149,4526
2025-01-10,5833,5782,1.965599589689044e+08,158,4668
2025-01-11,6350,6324,1.685710664623603e+08,155,4971
2025-01-12,6549,6534,1.443787478034604e+08,172,5097
2025-01-13,6415,6399,2.82042686374242e+08,196,4970
2025-01-14,6501,6469,2.0517184887679505e+08,166,5081
2025-01-15,6170,6156,2.4115627413746825e+08,167,4756
2025-01-16,6222,6216,1.6912734963269356e+08,171,4770
2025-01-17,6019,6016,2.0112181752519327e+08,145,4727
2025-01-18,6596,6591,3.2960386896977556e+08,175,5031
2025-01-19,4827,4827,2.932149184472558e+08,129,3932
2025-01-20,4332,4325,2.0918641304673272e+08,103,3531
2025-01-21,4642,4637,2.538491709478137e+08,136,3723
2025-01-22,5353,5353,1.6286940303377944e+08,138,4279
2025-01-23,5320,5313,2.4127585089604694e+08,150,4211
2025-01-24,5211,5203,2.593833695700518e+08,148,4142
2025-01-25,4967,4959,1.6795942604714245e+08,145,3973
2025-01-26,6258,6256,1.8291331179589963e+08,164,4886
2025-01-27,5841,5841,3.5833595352262557e+08,180,4684
2025-01-28,5535,5532,2.388402258238825e+08,170,4410
2025-01-29,5875,5868,2.858681005291216e+08,186,4704
2025-01-30,6152,6147,2.4813627413279033e+08,191,4923
2025-01-31,5961,5949,2.5714654199793994e+08,177,4857
2025-02-01,6084,6075,2.4046918531539237e+08,212,4765
2025-02-02,6279,6277,2.876443832565648e+08,192,4779
2025-02-03,5514,5514,5.374902391966171e+08,169,4266
2025-02-04,7734,7719,3.1827983074364823e+08,237,5831
2025-02-05,7793,7788,2.360181977334079e+08,225,6009
2025-02-06,7066,7064,2.338226065501403e+08,201,5504
2025-02-07,8609,8609,2.3061531430040765e+08,238,6404
2025-02-08,7290,7286,1.7499447115881845e+08,229,5643
2025-02-09,7972,7970,1.6640033970949018e+08,195,6171
2025-02-10,8879,8876,3.2623917429030293e+08,225,6627
2025-02-11,9616,9614,2.2354324273565036e+08,223,6888
2025-02-12,6999,6990,2.660459953882438e+08,206,5396
2025-02-13,6875,6871,1.8977289934235662e+08,196,5298
2025-02-14,5920,5915,2.4363611154614046e+08,198,4781
2025-02-15,5351,5349,1.2900549633406004e+08,172,4278
2025-02-16,5852,5850,1.6264414024356052e+08,168,4600
2025-02-17,7612,7605,2.063963813233175e+08,177,5912
2025-02-18,8114,8110,2.3219316426601064e+08,199,6047
2025-02-19,6770,6770,2.777307897015559e+08,231,5286
2025-02-20,6404,6404,2.2720876086918628e+08,184,5040
2025-02-21,5815,5815,3.536646519571484e+08,163,4682
2025-02-22,6251,6247,2.1624648986600968e+08,190,4883
2025-02-23,6261,6261,3.1904931009602773e+08,223,4940
2025-02-24,6287,6285,3.18438112445489e+08,211,4897
2025-02-25,6621,6621,3.895828886137683e+08,179,5213
2025-02-26,6024,6020,2.6075771804734182e+08,185,4662
2025-02-27,6221,6219,3.075899334593402e+08,182,4911
2025-02-28,7372,7370,4.108581180713051e+08,218,5608
2025-03-01,5882,5880,1.973807709557979e+08,219,4664
2025-03-02,5876,5870,2.4898164727030715e+08,222,4599
2025-03-03,5809,5806,2.6333879063169622e+08,167,4718
2025-03-04,6391,6389,3.007259655425629e+08,189,5089
2025-03-05,5857,5855,2.3264975493061954e+08,171,4656
2025-03-06,5368,5366,2.330706397749652e+08,163,4223
2025-03-07,5653,5649,2.002052548037377e+08,152,4557
2025-03-08,5786,5779,1.8479452925226787e+08,179,4659
2025-03-09,6120,6111,2.100616891278888e+08,211,4896
2025-03-10,5669,5666,3.140734741030003e+08,172,4591
2025-03-11,6938,6936,2.741119481018355e+08,190,5405
2025-03-12,5812,5808,3.9968333693556887e+08,203,4675
2025-03-13,5846,5835,1.7682734675596866e+08,163,4713
2025-03-14,5582,5557,1.9841346367231748e+08,163,4429
2025-03-15,5523,5511,1.4488368929549602e+08,148,4435
2025-03-16,6394,6382,1.677320880401448e+08,160,5046
2025-03-17,6487,6478,1.5326837499301553e+08,163,5108
2025-03-18,5471,5461,1.6666490482763386e+08,169,4396
2025-03-19,6726,6726,2.2860107628485945e+08,185,5194
2025-03-20,6517,6511,2.0998898573468718e+08,152,5063
2025-03-21,5682,5672,1.7881503459577534e+08,155,4391
2025-03-22,5466,5464,1.0795832564929809e+08,169,4277
2025-03-23,5388,5382,1.3359261751881963e+08,126,4270
2025-03-24,5796,5785,2.0594959283911005e+08,126,4672
2025-03-25,5620,5609,2.4380356748773423e+08,134,4538
2025-03-26,5545,5541,2.121048009769094e+08,134,4505
2025-03-27,5929,5919,2.556883784666169e+08,141,4774
2025-03-28,6850,6844,2.801057994561349e+08,147,5334
2025-03-29,5721,5710,2.0447964962201324e+08,130,4359
2025-03-30,6507,6507,2.040635902297002e+08,130,4975
2025-03-31,6803,6803,3.320945495650367e+08,144,5433
2025-04-01,7372,7372,3.1533770833808357e+08,131,5896
2025-04-02,6537,6537,3.5084224458338255e+08,118,5393
2025-04-03,6366,6363,3.161001443841625e+08,128,5106
2025-04-04,6701,6688,3.5061838503214353e+08,111,5345
2025-04-05,6836,6830,2.787424058750316e+08,125,5319
2025-04-06,6861,6857,4.1831895839374846e+08,119,5411
2025-04-07,7151,7147,4.4148494904252845e+08,126,5572
2025-04-08,7026,7024,4.0838107995937943e+08,142,5579
