bot_address,total_trades,priced_trades,total_volume_usd
0xd6a2ea1dd494f927e88fa9cfcad977cbb6265a28,892,892,6.490523159997053e+06
0x000000000c923384110e9dca557279491e00f521,242,242,6.42052418655276e+06
0xb026bfa88e9c4f6728e3a887c6e459a76ff183ee,4370,4370,6.360777353335672e+06
0x6ca298d2983ab03aa1da7679389d955a4efee15c,489,489,6.252249226761882e+06
0xac6a9e9ca65d4bcbea3e59c4c40128052bcc8882,583,579,6.146738897652506e+06
0xc08de8b4ecf22f38374fa14583b8214022e53165,759,757,6.121802653584161e+06
0xbea29ee3bb5f025d3c7e107883cd002c420b389d,331,331,5.956249127908319e+06
0xc5798cd00276dbfdcd85bc751f5edace052e5cdd,66,66,5.800448494757816e+06
0x9d6b911199b891c55a93e4bc635bf59e33d002d8,20,20,5.770089344575993e+06
0xe6eb91b5d40e90752d1be0809683e644979b68a8,1,1,5.681983025830196e+06
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,220,220,5.503592972555388e+06
0x000000000000521fa5ddd7611a38f9dc280cd2f2,1652,1652,5.34761691491478e+06
0x0000a89d6d8f00f90ada0000003e005eaa4df87f,770,770,5.199921629816235e+06
0x5c3f19b909fa8afc04ce200262e066522ac2e5ea,587,587,5.022235504265132e+06
0x04c8577958ccc170eb3d2cca76f9d51bc6e42d8f,44,44,4.94568708316191e+06
0xcb2286d9471cc185281c4f763d34a962ed212962,226,226,4.901135877452473e+06
0x9062db3da0bf1e83acdbe5e976668c87f8fef5e1,5568,5568,4.760146614224168e+06
0x000000000035b5e5ad9019092c665357240f594e,28,28,4.59602548228293e+06
0x420cafeed3ac32cb6f3d7375a2c6195c8fca312a,6983,6983,4.567692933696202e+06
0x3e6333815468667c84e24024e3f74ce2d90dae20,40,40,4.497134301904008e+06
0xa7733d4c849d8c1b19c73eeac9c54127a17be542,14,14,4.458422963918745e+06
0x000020ca385900f0e88f3b00750000007c000f30,5814,5814,4.367797859068836e+06
0xe2f011b751bc2421ce0618bff526ad3de582ce7d,5856,5855,4.246926968481261e+06
0x067e5d651035ccbee4bf31f3a1e30ca86c8b52c4,492,492,4.1841398741944907e+06
0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9,83,83,4.14651742160616e+06
0xbb365c77487cde86efd1e330f334df9f03173a83,8028,8028,4.048866598510806e+06
0x7fdeb46b3a0916630f36e886d675602b1007fcbb,535,535,4.03271218371084e+06
0x4e4e761900490000da005500baf1cbed00266e00,7262,7262,3.8027153568743137e+06
